"Treatment"	"Population"	"Alive"	"Dead"
"1"	"early"	1	84	22
"2"	"early"	1	67	23
"3"	"early"	1	76	23
"4"	"early"	1	78	27
"5"	"early"	1	81	24
"6"	"early"	2	67	39
"7"	"early"	2	71	29
"8"	"early"	2	70	23
"9"	"early"	2	65	25
"10"	"early"	2	65	34
"11"	"early"	3	73	27
"12"	"early"	3	76	25
"13"	"early"	3	72	29
"14"	"early"	3	66	20
"15"	"early"	3	68	32
"16"	"early"	4	75	15
"17"	"early"	4	76	18
"18"	"early"	4	79	27
"19"	"early"	4	78	16
"20"	"early"	4	86	17
"21"	"early"	5	66	27
"22"	"early"	5	78	31
"23"	"early"	5	76	27
"24"	"early"	5	71	30
"25"	"early"	5	73	37
"26"	"mid"	6	67	34
"27"	"mid"	6	68	24
"28"	"mid"	6	68	19
"29"	"mid"	6	70	33
"30"	"mid"	6	72	36
"31"	"mid"	7	62	39
"32"	"mid"	7	66	44
"33"	"mid"	7	66	47
"34"	"mid"	7	54	40
"35"	"mid"	7	66	34
"36"	"mid"	8	79	18
"37"	"mid"	8	90	17
"38"	"mid"	8	87	12
"39"	"mid"	8	85	19
"40"	"mid"	8	87	16
"41"	"mid"	9	90	14
"42"	"mid"	9	84	15
"43"	"mid"	9	83	25
"44"	"mid"	9	75	17
"45"	"mid"	9	83	17
"46"	"mid"	10	76	24
"47"	"mid"	10	76	33
"48"	"mid"	10	79	17
"49"	"mid"	10	77	36
"50"	"mid"	10	76	22
"51"	"late"	11	93	22
"52"	"late"	11	82	7
"53"	"late"	11	86	14
"54"	"late"	11	86	16
"55"	"late"	11	90	15
"56"	"late"	12	61	37
"57"	"late"	12	67	28
"58"	"late"	12	56	31
"59"	"late"	12	60	32
"60"	"late"	12	60	43
"61"	"late"	13	55	48
"62"	"late"	13	50	47
"63"	"late"	13	54	46
"64"	"late"	13	52	44
"65"	"late"	13	57	52
"66"	"late"	14	83	20
"67"	"late"	14	89	13
"68"	"late"	14	85	6
"69"	"late"	14	82	26
"70"	"late"	14	91	13
"71"	"late"	15	71	16
"72"	"late"	15	83	12
"73"	"late"	15	73	19
"74"	"late"	15	81	25
"75"	"late"	15	70	24
