Genus,Species,TreeDiameter,Region
Fabaceae,Abarema jupunba,0.78,South America (tropical)
Fabaceae,Abarema jupunba,0.66,South America (tropical)
Fabaceae,Abarema jupunba,0.551,South America (tropical)
Fabaceae,Abarema jupunba,0.534,South America (tropical)
Fabaceae,Abarema jupunba,0.551,South America (tropical)
Fabaceae,Abarema jupunba,0.5,South America (tropical)
Fabaceae,Abarema jupunba,0.52,South America (tropical)
Fabaceae,Abarema macradenia,0.438,Central America (tropical)
Pinaceae,Abies alba,0.353,Europe
Pinaceae,Abies amabilis,0.4,NorthAmerica
Pinaceae,Abies arizonica,0.289,NorthAmerica
Pinaceae,Abies balsamea,0.33,NorthAmerica
Pinaceae,Abies concolor,0.37,NorthAmerica
Pinaceae,Abies delavayi,0.4,China
Pinaceae,Abies ernestii,0.36,China
Pinaceae,Abies fabri,0.373,China
Pinaceae,Abies fargesii,0.34,China
Pinaceae,Abies faxoniana,0.385,China
Pinaceae,Abies forrestii,0.35,China
Pinaceae,Abies georgei,0.441,China
Pinaceae,Abies georgei,0.425,China
Pinaceae,Abies grandis,0.35,NorthAmerica
Pinaceae,Abies guatemalensis,0.43,Central America (tropical)
Pinaceae,Abies holophylla,0.336,China
Pinaceae,Abies lasiocarpa,0.31,NorthAmerica
Pinaceae,Abies magnifica,0.36,NorthAmerica
Pinaceae,Abies nephrolepis,0.331,China
Pinaceae,Abies nephrolepis,0.316,China
Pinaceae,Abies pindrow,0.38,India
Pinaceae,Abies pinsapo,0.41,Europe
Pinaceae,Abies procera,0.37,NorthAmerica
Pinaceae,Abies religiosa,0.38,Mexico
Menispermaceae,Abuta rufescens,0.45,South America (tropical)
Fabaceae,Acacia acradenia,0.904,Australia
Fabaceae,Acacia acuminata,0.895,Australia
Fabaceae,Acacia acuminata,1.008,Australia
Fabaceae,Acacia adsurgens,0.887,Australia
Fabaceae,Acacia albicorticata,0.49,South America (tropical)
Fabaceae,Acacia alleniana,0.56,Australia/PNG (tropical)
Fabaceae,Acacia ampliceps,0.568,Australia
Fabaceae,Acacia amythethophylla,1.007,Africa (extratropical)
Fabaceae,Acacia aneura,1.033,Australia/PNG (tropical)
Fabaceae,Acacia aneura,1.035,Australia
Fabaceae,Acacia aneura,1.019,Australia
Fabaceae,Acacia aneura,0.929,Australia/PNG (tropical)
Fabaceae,Acacia aneura,0.861,Australia
Fabaceae,Acacia aneura,0.996,Australia
Fabaceae,Acacia aneura,1.044,Australia
Fabaceae,Acacia aneura,0.92,Australia
Fabaceae,Acacia aneura,0.982,Australia
Fabaceae,Acacia angustissima,0.85,Mexico
Fabaceae,Acacia arabica,0.86,India
Fabaceae,Acacia aroma,0.808,South America (extratropical)
Fabaceae,Acacia atkinsiana,0.89,Australia
Fabaceae,Acacia aulacocarpa,0.581,Australia/PNG (tropical)
Fabaceae,Acacia aulacocarpa,0.612,Australia/PNG (tropical)
Fabaceae,Acacia aulacocarpa,0.594,Australia/PNG (tropical)
Fabaceae,Acacia aulacocarpa,0.689,Australia/PNG (tropical)
